machine_type,maintenance_interval,operating_mode,environment,vibration_level_mm_s,temperature_F,pressure_PSI,load_factor,days_to_failure
Motor,156,Overload,Dusty,3.5,79.3,73,0.69,6.9
Motor,107,Production,Indoor,2.0,82.1,108,0.54,51.4
Pump,84,Production,Outdoor,1.8,63.7,107,0.64,55.3
Pump,134,Production,Dusty,1.9,67.1,125,0.58,58.7
Motor,95,Production,Indoor,2.1,94.7,75,0.36,41.0
Pump,108,Overload,Outdoor,3.0,83.5,65,0.61,17.3
Pump,117,Production,Dusty,2.1,59.5,64,0.4,57.2
Motor,175,Production,Outdoor,2.1,78.1,136,0.24,59.2
Motor,121,Overload,Outdoor,3.6,72.5,120,0.38,8.4
Compressor,163,Overload,Outdoor,3.9,99.6,134,0.53,9.7
Motor,141,Idle,Dusty,0.8,93.2,108,0.51,83.7
Compressor,173,Production,Indoor,1.6,68.0,67,0.85,34.7
Motor,82,Idle,Outdoor,0.7,80.0,101,0.84,113.0
Motor,71,Overload,Dusty,3.4,69.9,103,0.6,16.3
Motor,126,Production,Dusty,2.4,65.2,66,0.42,64.7
Motor,79,Production,Outdoor,1.7,82.0,125,0.21,38.9
Pump,169,Production,Outdoor,1.8,91.5,85,0.86,54.3
Pump,157,Production,Indoor,1.6,61.6,66,0.72,44.7
Pump,119,Idle,Dusty,1.0,82.0,77,0.6,115.0
Compressor,93,Overload,Outdoor,2.7,60.6,98,0.7,6.2
Compressor,68,Overload,Dusty,3.5,53.7,122,0.31,24.7
Compressor,99,Overload,Indoor,3.5,61.6,77,0.24,6.2
Compressor,121,Production,Indoor,1.9,67.7,102,0.49,35.2
Motor,114,Overload,Outdoor,3.6,56.7,93,0.73,20.4
Compressor,64,Idle,Indoor,0.8,66.2,126,0.6,85.5
Pump,158,Idle,Indoor,0.9,77.4,96,0.78,118.4
Motor,111,Overload,Outdoor,2.7,73.8,90,0.42,7.5
Pump,164,Production,Indoor,1.9,82.9,135,0.75,68.2
Pump,87,Idle,Dusty,0.5,74.8,90,0.46,117.2
Pump,142,Idle,Indoor,0.7,86.9,100,0.64,82.7
Pump,168,Idle,Dusty,0.3,53.6,60,0.87,109.8
Compressor,111,Idle,Dusty,0.6,97.1,122,0.38,98.5
Motor,97,Production,Dusty,1.6,54.1,137,0.34,56.4
Compressor,108,Idle,Outdoor,1.0,63.0,65,0.87,106.7
Pump,95,Overload,Dusty,2.6,99.0,108,0.57,24.4
Motor,70,Overload,Outdoor,3.3,66.9,134,0.28,17.3
Motor,148,Idle,Outdoor,0.6,97.2,79,0.2,102.0
Compressor,91,Overload,Outdoor,3.8,93.1,127,0.84,17.9
Motor,67,Production,Outdoor,2.1,86.4,122,0.62,38.8
Pump,81,Overload,Indoor,3.0,86.4,68,0.65,20.1
Compressor,147,Overload,Indoor,3.9,70.7,120,0.69,14.8
Pump,89,Overload,Dusty,2.9,78.9,130,0.45,16.3
Pump,62,Production,Indoor,2.1,63.9,75,0.8,62.5
Motor,162,Production,Dusty,1.7,59.4,88,0.73,52.2
Pump,137,Production,Outdoor,2.3,87.5,120,0.64,63.6
Compressor,160,Overload,Outdoor,3.8,68.4,95,0.68,14.4
Pump,113,Production,Dusty,2.1,50.2,109,0.38,45.7
Compressor,63,Idle,Indoor,0.6,82.1,65,0.56,96.1
Motor,89,Overload,Outdoor,3.6,80.1,61,0.36,6.1
Pump,135,Overload,Outdoor,2.6,99.1,76,0.76,6.2
Compressor,172,Overload,Dusty,3.2,61.8,89,0.15,7.9
Motor,104,Overload,Indoor,3.6,71.1,110,0.73,19.7
Compressor,162,Overload,Indoor,3.5,97.5,76,0.55,24.8
Pump,153,Production,Outdoor,1.8,79.3,115,0.84,31.0
Motor,85,Overload,Dusty,3.9,68.8,96,0.48,10.2
Motor,149,Idle,Outdoor,0.6,86.4,99,0.45,99.3
Motor,119,Idle,Indoor,0.3,87.6,112,0.87,82.3
Motor,151,Production,Dusty,1.8,62.3,132,0.3,31.8
Motor,103,Production,Indoor,1.9,74.4,62,0.15,63.8
Motor,92,Production,Dusty,2.1,67.4,131,0.12,43.8
Compressor,80,Overload,Outdoor,3.9,91.4,123,0.6,16.2
Compressor,146,Idle,Outdoor,1.0,59.6,87,0.35,90.3
Pump,92,Idle,Outdoor,0.7,86.0,93,0.17,94.0
Pump,120,Production,Outdoor,2.1,70.2,103,0.73,50.9
Motor,157,Idle,Indoor,0.7,71.4,71,0.63,83.3
Compressor,98,Idle,Outdoor,0.8,64.5,122,0.19,98.5
Compressor,108,Overload,Dusty,3.2,93.6,103,0.71,6.0
Compressor,145,Production,Outdoor,1.5,61.9,96,0.89,35.1
Motor,62,Production,Indoor,2.1,69.5,123,0.4,52.1
Compressor,128,Overload,Dusty,3.7,59.8,74,0.18,12.6
Compressor,68,Idle,Dusty,0.7,59.8,131,0.52,105.4
Compressor,168,Production,Dusty,2.3,94.9,73,0.51,42.7
Compressor,160,Idle,Outdoor,0.3,80.8,66,0.81,94.5
Compressor,168,Overload,Dusty,3.3,56.1,118,0.36,24.3
Compressor,128,Production,Indoor,2.5,54.7,62,0.76,56.2
Pump,151,Production,Indoor,1.6,64.8,133,0.19,59.3
Pump,144,Idle,Outdoor,0.6,91.0,130,0.52,112.9
Pump,144,Idle,Dusty,0.4,57.1,87,0.46,83.5
Motor,76,Production,Indoor,2.1,90.3,127,0.3,47.4
Motor,158,Idle,Dusty,0.4,58.7,128,0.28,107.0
Motor,84,Overload,Dusty,2.9,65.3,77,0.13,17.9
Pump,98,Idle,Indoor,0.6,89.4,113,0.31,110.4
Compressor,150,Idle,Outdoor,0.9,72.4,96,0.79,80.0
Motor,143,Production,Indoor,1.9,52.1,119,0.83,69.1
Motor,110,Overload,Dusty,2.7,87.7,124,0.11,19.2
Compressor,78,Overload,Dusty,3.4,72.5,77,0.2,16.2
Pump,73,Idle,Dusty,0.5,53.7,78,0.68,80.5
Motor,164,Idle,Indoor,0.3,79.7,131,0.25,116.1
Motor,71,Overload,Dusty,3.3,63.4,123,0.56,21.8
Compressor,103,Idle,Indoor,0.3,86.9,102,0.13,113.3
Pump,67,Overload,Indoor,3.7,84.7,66,0.83,22.6
Motor,111,Production,Indoor,2.3,58.5,135,0.46,54.1
Compressor,151,Idle,Outdoor,0.8,89.3,137,0.31,89.5
Compressor,97,Production,Outdoor,2.0,94.6,60,0.13,69.4
Motor,124,Production,Indoor,1.5,66.6,98,0.26,35.6
Pump,72,Overload,Indoor,3.2,50.3,60,0.28,14.5
Compressor,144,Overload,Indoor,3.8,78.6,101,0.33,10.7
Pump,100,Production,Indoor,1.8,55.7,87,0.51,62.7
Motor,78,Idle,Dusty,0.3,56.6,81,0.42,107.0
Pump,168,Overload,Indoor,3.1,65.5,125,0.86,23.2
Motor,146,Production,Outdoor,2.2,62.9,64,0.58,64.5
Pump,95,Production,Outdoor,1.8,54.6,107,0.54,56.6
Compressor,100,Idle,Dusty,0.3,70.6,111,0.62,83.2
Motor,110,Overload,Outdoor,3.4,55.8,72,0.24,5.2
Motor,62,Production,Outdoor,1.6,57.1,60,0.44,66.1
Compressor,149,Overload,Indoor,3.2,56.2,104,0.37,6.7
Pump,113,Overload,Dusty,3.7,71.5,113,0.32,6.3
Motor,91,Idle,Dusty,0.9,72.5,106,0.71,103.6
Motor,116,Overload,Outdoor,3.0,85.3,115,0.4,16.6
Pump,124,Idle,Dusty,0.8,57.7,62,0.62,81.8
Motor,70,Overload,Indoor,3.0,55.1,127,0.52,6.4
Pump,109,Production,Indoor,2.0,61.4,138,0.53,57.5
Motor,166,Idle,Dusty,0.6,58.0,61,0.7,81.6
Motor,96,Overload,Outdoor,3.2,68.7,97,0.46,7.6
Pump,118,Production,Dusty,2.3,57.6,62,0.88,69.4
Pump,72,Production,Outdoor,2.0,58.4,79,0.77,36.2
Compressor,172,Overload,Indoor,3.0,67.1,81,0.87,10.2
Compressor,83,Overload,Indoor,3.3,72.2,110,0.49,8.3
Motor,163,Overload,Outdoor,3.7,78.5,109,0.26,19.7
Pump,95,Idle,Outdoor,0.4,61.4,137,0.83,114.1
Motor,80,Overload,Outdoor,3.0,89.5,69,0.74,14.2
Pump,174,Idle,Dusty,0.9,75.6,67,0.7,117.8
Motor,134,Production,Indoor,2.1,78.1,95,0.58,45.0
Pump,137,Idle,Dusty,0.6,70.4,126,0.71,109.0
Pump,131,Overload,Indoor,3.9,72.0,127,0.81,9.0
Pump,72,Overload,Dusty,3.0,81.3,134,0.12,10.1
Motor,69,Production,Outdoor,2.2,81.6,111,0.76,58.9
Pump,153,Idle,Dusty,0.5,99.5,76,0.9,88.4
Pump,96,Overload,Indoor,2.5,53.5,60,0.85,5.9
Motor,122,Idle,Dusty,0.8,74.4,66,0.43,113.8
Compressor,73,Production,Indoor,1.5,97.4,65,0.86,42.2
Pump,178,Overload,Outdoor,3.8,89.7,116,0.14,18.6
Compressor,93,Production,Dusty,2.2,70.1,83,0.22,56.7
Pump,98,Overload,Indoor,3.9,77.4,77,0.13,11.4
Motor,90,Overload,Indoor,3.0,86.0,129,0.46,18.0
Motor,109,Production,Outdoor,1.6,91.1,124,0.54,57.3
Motor,71,Overload,Dusty,2.7,57.9,130,0.76,23.3
Compressor,116,Overload,Dusty,2.6,59.5,122,0.67,20.0
Motor,67,Production,Indoor,2.2,67.0,135,0.17,32.5
Pump,86,Overload,Outdoor,3.7,65.7,123,0.81,7.6
Compressor,96,Idle,Indoor,0.6,84.4,99,0.41,95.1
Compressor,82,Overload,Indoor,3.8,85.7,113,0.87,18.5
Motor,132,Overload,Indoor,3.9,73.8,110,0.9,19.1
Pump,158,Idle,Dusty,0.6,55.5,110,0.72,118.3
Motor,160,Idle,Indoor,0.3,70.8,117,0.4,110.7
Pump,159,Production,Indoor,2.0,87.7,62,0.42,65.2
Motor,167,Overload,Indoor,2.7,84.1,97,0.56,19.7
Pump,108,Idle,Outdoor,0.5,89.1,103,0.18,94.7
Motor,145,Production,Indoor,1.5,56.2,93,0.49,45.2
Pump,102,Overload,Indoor,3.0,98.2,101,0.64,23.1
Motor,135,Overload,Dusty,3.7,78.8,66,0.41,20.5
Pump,84,Idle,Indoor,0.4,87.0,77,0.61,90.6
Compressor,110,Overload,Indoor,3.5,77.3,126,0.58,16.0
Compressor,88,Idle,Indoor,0.6,96.9,108,0.48,92.1
Pump,178,Overload,Indoor,3.5,76.5,112,0.62,16.6
Compressor,165,Production,Indoor,1.9,81.1,122,0.56,39.0
Compressor,154,Overload,Dusty,4.0,63.0,87,0.83,15.5
Pump,105,Production,Outdoor,2.0,84.5,134,0.5,65.6
Motor,97,Idle,Dusty,0.6,88.1,88,0.86,85.4
Motor,121,Production,Outdoor,1.6,77.3,74,0.47,41.0
Pump,166,Overload,Indoor,2.7,56.8,139,0.52,13.9
Compressor,107,Overload,Dusty,2.9,99.1,105,0.31,24.2
Motor,177,Idle,Outdoor,0.9,99.1,75,0.73,87.0
Compressor,176,Overload,Outdoor,3.0,98.4,91,0.78,19.0
Pump,102,Production,Dusty,2.2,89.1,136,0.71,39.9
Motor,95,Idle,Indoor,0.6,68.8,104,0.74,80.5
Motor,114,Idle,Dusty,0.5,62.7,79,0.42,92.9
Motor,179,Idle,Dusty,0.3,96.0,139,0.14,116.1
Pump,153,Idle,Dusty,0.6,52.9,95,0.32,105.4
Pump,150,Idle,Outdoor,0.9,82.8,79,0.25,90.0
Compressor,134,Idle,Indoor,1.0,51.9,62,0.24,81.1
Pump,70,Production,Dusty,2.2,71.4,86,0.77,39.0
Compressor,85,Idle,Indoor,0.5,71.0,122,0.48,115.8
Pump,171,Overload,Dusty,3.3,79.7,62,0.61,9.1
Pump,60,Overload,Dusty,2.6,54.8,126,0.14,23.8
Compressor,93,Production,Indoor,2.3,73.2,63,0.33,44.1
Motor,100,Idle,Indoor,0.3,79.5,64,0.39,85.1
Motor,144,Idle,Indoor,1.0,71.9,130,0.14,89.0
Pump,128,Production,Indoor,2.2,71.1,84,0.36,55.6
Pump,171,Idle,Dusty,0.5,100.0,92,0.28,90.9
Pump,75,Production,Dusty,1.9,70.7,120,0.12,53.6
Compressor,155,Production,Outdoor,2.3,74.1,88,0.86,53.4
Motor,172,Overload,Indoor,3.6,85.4,73,0.88,20.2
Compressor,129,Overload,Indoor,3.7,56.1,70,0.78,18.9
Pump,132,Idle,Indoor,0.5,60.7,113,0.23,112.3
Compressor,168,Idle,Dusty,0.8,77.5,84,0.49,109.1
Compressor,163,Production,Outdoor,1.5,85.2,137,0.45,61.3
Pump,108,Overload,Dusty,3.3,71.5,84,0.49,19.1
Compressor,135,Idle,Dusty,1.0,94.0,124,0.64,108.6
Pump,160,Overload,Dusty,3.0,65.6,134,0.78,21.3
Pump,172,Overload,Outdoor,3.9,69.5,75,0.43,5.2
Motor,128,Production,Outdoor,1.8,62.4,88,0.17,59.3
Motor,153,Idle,Dusty,0.8,69.1,138,0.73,93.3
Compressor,113,Overload,Indoor,3.4,55.1,82,0.32,9.0
Motor,88,Production,Outdoor,2.4,59.0,137,0.19,30.5
Pump,108,Production,Dusty,2.1,76.0,65,0.58,37.6
Motor,97,Production,Outdoor,2.0,57.2,107,0.24,40.7
Motor,79,Overload,Dusty,3.9,81.2,111,0.31,10.9
Compressor,69,Production,Indoor,2.2,85.3,108,0.35,44.9
Pump,142,Overload,Outdoor,3.4,72.5,108,0.27,22.3
Motor,159,Overload,Outdoor,3.8,68.7,64,0.6,9.1
Compressor,60,Idle,Outdoor,0.7,70.0,127,0.25,90.1
Motor,86,Production,Outdoor,2.5,66.4,131,0.17,34.1
Pump,132,Idle,Dusty,0.6,50.5,107,0.59,90.3
Pump,99,Idle,Dusty,0.8,60.0,130,0.69,108.0
Motor,128,Overload,Dusty,2.5,62.4,65,0.47,12.1
Motor,153,Overload,Dusty,2.8,91.9,124,0.76,16.9
Compressor,133,Overload,Outdoor,2.9,87.1,119,0.52,20.7
